year,month,day,time_slot,weekday
2025,8,1,06-07시간대,0
2025,8,1,07-08시간대,0
2025,8,1,08-09시간대,0
2025,8,1,09-10시간대,0
2025,8,1,10-11시간대,0
2025,8,1,11-12시간대,0
2025,8,1,12-13시간대,0
2025,8,1,13-14시간대,0
2025,8,1,14-15시간대,0
2025,8,1,15-16시간대,0
2025,8,1,16-17시간대,0
2025,8,1,17-18시간대,0
2025,8,1,18-19시간대,0
2025,8,1,19-20시간대,0
2025,8,1,20-21시간대,0
2025,8,1,21-22시간대,0
2025,8,1,22-23시간대,0
2025,8,1,23-24시간대,0
2025,8,2,06-07시간대,1
2025,8,2,07-08시간대,1
2025,8,2,08-09시간대,1
2025,8,2,09-10시간대,1
2025,8,2,10-11시간대,1
2025,8,2,11-12시간대,1
2025,8,2,12-13시간대,1
2025,8,2,13-14시간대,1
2025,8,2,14-15시간대,1
2025,8,2,15-16시간대,1
2025,8,2,16-17시간대,1
2025,8,2,17-18시간대,1
2025,8,2,18-19시간대,1
2025,8,2,19-20시간대,1
2025,8,2,20-21시간대,1
2025,8,2,21-22시간대,1
2025,8,2,22-23시간대,1
2025,8,2,23-24시간대,1
2025,8,3,06-07시간대,2
2025,8,3,07-08시간대,2
2025,8,3,08-09시간대,2
2025,8,3,09-10시간대,2
2025,8,3,10-11시간대,2
2025,8,3,11-12시간대,2
2025,8,3,12-13시간대,2
2025,8,3,13-14시간대,2
2025,8,3,14-15시간대,2
2025,8,3,15-16시간대,2
2025,8,3,16-17시간대,2
2025,8,3,17-18시간대,2
2025,8,3,18-19시간대,2
2025,8,3,19-20시간대,2
2025,8,3,20-21시간대,2
2025,8,3,21-22시간대,2
2025,8,3,22-23시간대,2
2025,8,3,23-24시간대,2
2025,8,4,06-07시간대,0
2025,8,4,07-08시간대,0
2025,8,4,08-09시간대,0
2025,8,4,09-10시간대,0
2025,8,4,10-11시간대,0
2025,8,4,11-12시간대,0
2025,8,4,12-13시간대,0
2025,8,4,13-14시간대,0
2025,8,4,14-15시간대,0
2025,8,4,15-16시간대,0
2025,8,4,16-17시간대,0
2025,8,4,17-18시간대,0
2025,8,4,18-19시간대,0
2025,8,4,19-20시간대,0
2025,8,4,20-21시간대,0
2025,8,4,21-22시간대,0
2025,8,4,22-23시간대,0
2025,8,4,23-24시간대,0
2025,8,5,06-07시간대,0
2025,8,5,07-08시간대,0
2025,8,5,08-09시간대,0
2025,8,5,09-10시간대,0
2025,8,5,10-11시간대,0
2025,8,5,11-12시간대,0
2025,8,5,12-13시간대,0
2025,8,5,13-14시간대,0
2025,8,5,14-15시간대,0
2025,8,5,15-16시간대,0
2025,8,5,16-17시간대,0
2025,8,5,17-18시간대,0
2025,8,5,18-19시간대,0
2025,8,5,19-20시간대,0
2025,8,5,20-21시간대,0
2025,8,5,21-22시간대,0
2025,8,5,22-23시간대,0
2025,8,5,23-24시간대,0
